,기준연도,학교종류,설립구분,지역,상태,학교,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학,온라인,사립구분
168,2019,대학교,사립,경남,기존,인제대학교,342000.0,7035200.0,7035200.0,5634100.0,7543100.0,7319700.0,7833400.0,,off,사립
169,2019,대학교,사립,부산,기존,인제대학교 _제2캠퍼스,342000.0,8555700.0,8555700.0,,6925500.0,,,9958000.0,off,사립
170,2019,대학교,사립,인천,기존,인천가톨릭대학교,,5282000.0,5282000.0,5282000.0,,,,,off,사립
171,2019,대학교,사립,인천,기존,인천가톨릭대학교 _제2캠퍼스,534000.0,8176900.0,8176900.0,,8362000.0,8110000.0,,,off,사립
172,2019,대학교,국립대법인,인천,기존,인천대학교,,4652100.0,4652100.0,4104000.0,4558300.0,4878600.0,5164000.0,,off,국공립
173,2019,대학교,사립,인천,기존,인하대학교,674000.0,7669700.0,7669700.0,6672000.0,7942900.0,8239500.0,8397100.0,10550000.0,off,사립
174,2019,대학교,사립,서울,기존,장로회신학대학교,582000.0,6615200.0,6615200.0,5750500.0,,8344500.0,,,off,사립
175,2019,대학교,국립,광주,기존,전남대학교,,4168700.0,4168700.0,3419400.0,4309300.0,4525800.0,4440000.0,6038600.0,off,국공립
176,2019,대학교,국립,전남,기존,전남대학교 _제2캠퍼스,,4062600.0,4062600.0,3438000.0,4100000.0,,4404000.0,,off,국공립
177,2019,대학교,국립,전북,기존,전북대학교,,4308700.0,4308700.0,3322000.0,4359200.0,4675800.0,4596000.0,8346200.000000001,off,국공립
178,2019,교육대학,국립,전북,기존,전주교육대학교,,3272000.0,3272000.0,3272000.0,3272000.0,3272000.0,,,off,국공립
179,2019,대학교,사립,전북,기존,전주대학교,342000.0,6973100.0,6973100.0,6207300.0,7259700.0,7532200.0,7890000.0,,off,사립
181,2019,대학교,사립,제주,기존,제주국제대학교,324000.0,6096700.0,6096700.0,5809700.0,6339300.0,6348000.0,6303400.0,,off,사립
182,2019,대학교,국립,제주,기존,제주대학교,,3798500.0,3798500.0,3228100.0,4063100.0,4245500.0,4347100.0,5602000.0,off,국공립
183,2019,대학교,사립,광주,기존,조선대학교,380000.0,7000500.0,7000500.0,5798700.0,7509100.0,7250700.0,7678000.0,10680000.0,off,사립
184,2019,대학교,사립,충남,기존,중부대학교,360000.0,7177800.0,7177800.0,6605200.0,7255200.0,7778800.0,7603600.0,,off,사립
185,2019,대학교,사립,서울,기존,중앙대학교,667000.0,7879000.0,7879000.0,6812000.0,8480100.0,8893400.0,9036000.0,10992000.0,off,사립
186,2019,대학교,사립,경기,기존,중앙대학교 _제2캠퍼스,667000.0,8657700.0,8657700.0,,7938000.0,8965000.0,9036000.0,,off,사립
187,2019,대학교,사립,경기,기존,중앙승가대학교,126000.0,1760000.0,1760000.0,1760000.0,,,,,off,사립
188,2019,대학교,사립,충북,기존,중원대학교,461000.0,7275000.0,7275000.0,6207300.0,7730900.0,7398000.0,7762100.0,,off,사립
189,2019,교육대학,국립,경남,기존,진주교육대학교,,3446000.0,3446000.0,3445700.0,3445900.0,3446800.0,,,off,국공립
190,2019,대학교,사립,경기,기존,차의과학대학교,529000.0,7136300.0,7136300.0,6934000.0,7305500.0,,,,off,사립
191,2019,대학교,사립,경남,기존,창신대학교,360000.0,6300700.0,6300700.0,5520000.0,6657800.0,6940900.0,7325900.0,,off,사립
192,2019,대학교,국립,경남,기존,창원대학교,,3895100.0,3895100.0,3389300.0,4040900.0,4314700.0,4383000.0,,off,국공립
193,2019,산업대학,사립,충남,기존,청운대학교,462000.0,7292800.0,7292800.0,6881700.0,7588000.0,7843700.0,7588000.0,,off,사립
194,2019,교육대학,국립,충북,기존,청주교육대학교,,3230000.0,3230000.0,3230000.0,,,,,off,국공립
195,2019,대학교,사립,충북,기존,청주대학교,544000.0,7621300.0,7621300.0,6843000.0,7851400.0,8258799.999999999,8342400.0,,off,사립
196,2019,대학교,사립,전남,기존,초당대학교,240000.0,6490100.0,6490100.0,5589600.0,6664000.0,6664000.0,7454000.0,,off,사립
197,2019,대학교,사립,서울,기존,총신대학교,600000.0,6922700.0,6922700.0,6559900.0,,8737000.0,,,off,사립
198,2019,대학교,사립,서울,기존,추계예술대학교,544000.0,8529100.0,8529100.0,6722500.0,,9065700.0,,,off,사립
199,2019,교육대학,국립,강원,기존,춘천교육대학교,,3185000.0,3185000.0,3185000.0,3185000.0,3185000.0,,,off,국공립
200,2019,대학교,국립,대전,기존,충남대학교,,4312500.0,4312500.0,3371600.0,4266400.0,4590800.0,4844000.0,8042000.0,off,국공립
