,기준연도,학교종류,지역,학교,온라인,구분,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학
223,2020,대학교,대전,한남대학교,off,사립,287400.0,7183286.7,7183286.7,6482095.1,7392853.0,8143032.8,8208056.8,0.0
224,2020,대학교,경북,한동대학교,off,사립,468000.0,7119000.0,7119000.0,6615800.0,7748000.0,0.0,7748000.0,0.0
225,2020,대학교,강원,한라대학교,off,사립,280000.0,6949528.1,6949528.1,5860000.0,0.0,7698000.0,7698000.0,0.0
226,2020,대학교,전남,한려대학교,off,사립,195800.0,6585418.3,6585418.3,5293000.0,6948571.1,6300000.0,6300000.0,0.0
227,2020,대학교,강원,한림대학교,off,사립,477880.0,7456347.6,7456347.6,6632598.7,8017551.3,8062000.0,8367703.0,10294000.0
228,2020,대학교,대전,한밭대학교,off,국립,0.0,4449657.8,4449657.8,3820661.8,0.0,4555101.0,4643943.6,0.0
229,2020,대학교,충남,한서대학교,off,사립,196000.0,7947080.0,7947080.0,7386600.8,7884865.2,8009507.6,8436745.6,0.0
230,2020,대학교,서울,한성대학교,off,사립,426000.0,7734179.0,7734179.0,6945450.1,0.0,8703235.3,8530000.0,0.0
231,2020,대학교,경기,한세대학교,off,사립,489000.0,8097872.4,8097872.4,7123464.3,8228000.0,9486051.4,8830000.0,0.0
232,2020,대학교,경기,한신대학교,off,사립,479000.0,7185640.2,7185640.2,6826693.7,7802000.0,7802000.0,8183171.8,0.0
233,2020,대학교,서울,한양대학교,off,사립,506000.0,8482856.2,8482856.2,7073491.0,8499924.2,9295445.1,9267059.4,10822000.0
234,2020,대학교,경기,한양대학교(ERICA) _분교,off,사립,506000.0,8458781.8,8458781.8,7026000.0,8811360.0,9075810.2,9130122.4,0.0
235,2020,사이버대학(대학),서울,한양사이버대학교,on,사립,233000.0,2783224.0,2783224.0,2795530.9,0.0,2730389.6,2755787.4,0.0
236,2020,대학교,전북,한일장신대학교,off,사립,208000.0,6299051.9,6299051.9,5733057.2,7000000.0,7124561.4,0.0,0.0
237,2020,대학교,경기,협성대학교,off,사립,320000.0,7360328.7,7360328.7,6586000.0,8448305.7,8568000.0,8568000.0,0.0
238,2020,대학교,광주,호남대학교,off,사립,208000.0,6547100.5,6547100.5,5946612.0,6744000.0,6812351.9,6876000.0,0.0
239,2020,대학교,광주,호남신학대학교,off,사립,198400.0,6658862.3,6658862.3,5767277.9,0.0,7936800.0,0.0,0.0
240,2020,대학교,충남,호서대학교,off,사립,300000.0,7725758.5,7725758.5,6837226.0,7724750.7,8228648.4,8278000.0,0.0
241,2020,산업대학,전북,호원대학교,off,사립,188000.0,6929093.7,6929093.7,5896173.3,7177546.1,7490478.5,7003316.5,0.0
242,2020,대학교,서울,홍익대학교,off,사립,517800.0,8296617.9,8296617.9,6848000.0,6848000.0,9028388.7,8798637.5,0.0
243,2020,대학교,세종,홍익대학교 _제2캠퍼스,off,사립,517800.0,8432254.6,8432254.6,6848000.0,0.0,8984000.0,8799965.9,0.0
244,2020,사이버대학(대학),부산,화신사이버대학교,on,사립,233000.0,2444832.2,2444832.2,2444832.2,0.0,0.0,0.0,0.0
1,2021,대학교,경남,가야대학교(김해),off,사립,120000.0,6758560.2,6758560.2,5849683.7,7206556.7,0.0,0.0,0.0
2,2021,대학교,경기,가천대학교,off,사립,318000.0,8249738.7,8249738.7,7098467.3,8283509.9,9177055.6,9076000.0,9890000.0
3,2021,대학교,강원,가톨릭관동대학교,off,사립,154000.0,7165673.8,7165673.8,6157422.8,7459344.9,8218086.6,8135562.7,9850000.0
4,2021,대학교,충북,가톨릭꽃동네대학교,off,사립,0.0,7152463.0,7152463.0,6618000.0,7796000.0,0.0,0.0,0.0
5,2021,대학교,경기,가톨릭대학교,off,사립,316600.0,6964630.1,6964630.1,6122000.0,7454336.6,8562000.0,8284000.0,0.0
6,2021,대학교,서울,가톨릭대학교 _제2캠퍼스,off,사립,316600.0,9262984.1,9262984.1,0.0,8446189.7,0.0,0.0,10374000.0
7,2021,대학교,서울,가톨릭대학교 _제3캠퍼스,off,사립,316600.0,6122000.0,6122000.0,6122000.0,0.0,0.0,0.0,0.0
8,2021,대학교,서울,감리교신학대학교,off,사립,165400.0,6267300.0,6267300.0,6267300.0,0.0,0.0,0.0,0.0
9,2021,대학교,경기,강남대학교,off,사립,321000.0,7450968.5,7450968.5,6806000.0,0.0,8788649.0,8638000.0,0.0
10,2021,대학교,강원,강릉원주대학교,off,국립,0.0,4253234.2,4253234.2,3488000.0,4301374.9,5089373.1,4616000.0,7966000.0
11,2021,대학교,강원,강릉원주대학교 _제2캠퍼스,off,국립,0.0,4290340.0,4290340.0,3488000.0,4298000.0,0.0,4616000.0,0.0
12,2021,대학교,강원,강원대학교,off,국립,0.0,4058840.5,4058840.5,3425414.3,4281983.0,4576229.5,4429130.2,5756000.0
13,2021,대학교,강원,강원대학교 _제2캠퍼스,off,국립,0.0,4246520.3,4246520.3,3473751.3,4218744.7,4576018.3,4436000.0,0.0
14,2021,대학교,서울,건국대학교,off,사립,334000.0,8275197.2,8275197.2,6760310.7,8142586.8,9059580.3,9173365.7,10180000.0
